job_title,job_date,comp_name,comp_type,comp_size,eco_activity,qualif,region,city,salary,contract,positions,job_post_id,exper,gender
محاسب,27/05/1444,شركة مقر العالم للسفريات,خاص,متوسطة فئة أ,أنشطة وكالات السياحة والسفر,"['Language data', 'اللغة الانجليزية', 'محترف']",الرياض,RIYADH,5000,دوام كامل,1,20202026350419,0,both
بائع,27/05/1444,شركة عالم الكهرباء للمقاولات,خاص,متوسطة فئة ب,تركيب انظمة التبريد وتكييف الهواء وصيانتها واصلاحها,,المنطقة الشرقية,DAMMAM,5000,دوام كامل,3,20202026350389,0,both
أخصائي عمليات موارد بشرية,27/05/1444,شركه دار السلام,خاص,متوسطة فئة أ,ترميمات المباني السكنية والغير سكنية,"['Language data', 'الانجليزيه', 'محترف']",الرياض,ATH THUMA,4000,دوام كامل,2,20202026350347,2,both
محاسب,27/05/1444,مؤسسة فكرة اليمامة للمقاولات,خاص,كبيرة,الإنشاءات العامة للمباني السكنية,"['Skill data', 'تحمل ضغط العمل', 'محترف', 'Language data', 'الانجليزية', 'متوسط', 'Professional certificate \\ License data', 'التسجيل في هيئة المحاسبين السعوديين', 'مفيد']",الرياض,RIYADH,5000,دوام كامل,1,20202026350043,0,both
مراقب كاميرات أمنية,27/05/1444,مطاعم تراث الدمشقية للوجبات السريعة,خاص,صغيرة فئة ب,تشغيل المقاصف والكفتيريات على أساس إمتياز محدد ، يشمل ( المقاصف والكفتيريات في المصانع والمكاتب والمستشفيات والمدارس .. الخ ),"['Skill data', 'اجادة الحاسب والتقنية ', 'متوسط', 'Language data', 'اللغة الانجليزية ', 'مبتدئ']",الرياض,RIYADH,4500,عمل عن بعد,1,20202026350031,0,both
سكرتير تنفيذي,27/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'محترف']",الرياض,RIYADH,6000,دوام كامل,2,20202026349999,4,F
مصمم جرافيك,26/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'متوسط']",الرياض,RIYADH,5000,دوام كامل,2,20202026349583,4,F
أخصائي ذكاء أعمال,26/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'لغة انجليزية', 'متوسط']",الرياض,RIYADH,7200,دوام كامل,4,20202026349578,0,both
بائع,26/05/1444,شركة بيت قطن للتجارة شركة شخص واحد,خاص,متوسطة فئة أ,البيع بالجملة للملابس الرياضية,"['Skill data', 'تسويق', 'مبتدئ']",المنطقة الشرقية,BATALI,4000,دوام كامل,5,20202026349573,0,both
محلل بيانات,26/05/1444,شركة بيانات و دعم القرار للاستشارات في مجال الاتصالات وتقنية,خاص,صغيرة فئة أ,إعادة تأهيل وهيكلة العمليات الإدارية والمالية والتشغيلية للمنشآت,"['Language data', 'انجليزية', 'متوسط']",الرياض,RIYADH,7200,دوام كامل,4,20202026349572,0,both
مدير حساب عميل,26/05/1444,مؤسسة عبر السوق لتقنية المعلومات,خاص,صغيرة فئة أ,تقديم خدمات تسويقية نيابةً عن الغير,"['Skill data', 'التسويق', 'مبتدئ', 'كتابة المحتوى', 'مبتدئ', 'مهارات التفاوض', 'مبتدئ', 'Language data', 'العربية', 'محترف', 'الانجليزية', 'متوسط']",مكة المكرمة,JEDDAH,6000,دوام كامل,3,20202026349523,2,F
مصمم جرافيك,26/05/1444,مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,,حائل,HAIL,7000,دوام كامل,1,20202026349504,4,M
مدخل بيانات,26/05/1444,مكتب مدارات للاستشارات الهندسية,خاص,متوسطة فئة ب,إدارة المشاريع الانشائية,,حائل,HAIL,3000,دوام كامل,2,20202026349475,2,M
مدخل بيانات,26/05/1444,شركة إرتقاء المتحدة لاجهزة السلامة,خاص,صغيرة فئة أ,تركيب وصيانة أجهزة ومعدات الإنذار من الحريق,,مكة المكرمة,JEDDAH,4000,دوام كامل,1,20202026349390,2,F
كيميائي,26/05/1444,شركة الغدير الدوليه للتسويق,خاص,صغيرة فئة أ,البيع بالجملة للمواد الكيميائية,"['Language data', 'الانجليزي ', 'متوسط', 'Professional certificate \\ License data', 'شهادة الهيئة الصحية للتخصصات الصحية ', 'ضروري']",مكة المكرمة,MAKKAH,5500,دوام كامل,1,20202026349224,0,F
محاسب,26/05/1444,شركة الصخرة المشرفة والسارية الخضراء للاستشارات الهندسية,خاص,متوسطة فئة ب,أنشطة الاستشارات الهندسية والمعمارية,"['Language data', 'الانجليزية', 'متوسط']",الرياض,RIYADH,5000,دوام كامل,1,20202026349216,0,F
محاسب,26/05/1444,شركة خدمات للوقود,خاص,صغيرة فئة ب,البيع بالتجزئة لمعدات محطات الوقود وقطع غيارها وتشمل (مضخات الوقود),"['Skill data', 'التعامل مع الحاسب ', 'متوسط']",الرياض,RIYADH,4000,دوام كامل,1,20202026348866,2,F
محلل نظم المعلومات,26/05/1444,شركة الذهبيه الهندسيه للمقاولات (شركة شخص واحد),خاص,متوسطة فئة ج,إنشاء وإقامة محطات وأبراج الاتصالات السلكية واللاسلكية والرادار,,الرياض,RIYADH,4000,دوام كامل,4,20202026348692,2,both
محاسب,26/05/1444,مؤسسة سلاسل بابل للمقاولات,خاص,صغيرة فئة ب,ترميمات المباني السكنية والغير سكنية,"['Skill data', 'الحاسب', 'محترف', 'Language data', 'الانجليزيه', 'متوسط', 'Professional certificate \\ License data', 'محاسب', 'ضروري']",مكة المكرمة,GHITHAH,4000,دوام كامل,1,20202026348685,0,F
مدير عام,26/05/1444,ورشة اضواء المشاعل للحدادة والالمنيوم,خاص,صغيرة فئة أ,Unknown,"['Skill data', 'حداد', 'متوسط', 'Language data', 'اللغة العربية ', 'محترف', 'Professional certificate \\ License data', 'حداده', 'مفيد']",المدينة المنورة,MADINA,4000,دوام كامل,1,20202026348601,0,M
مساعد إداري,26/05/1444,مؤسسة اتجاهات النجاح للمقاولات,خاص,صغيرة فئة ب,الإنشاءات العامة للمباني السكنية,"['Language data', 'الإنجليزية ', 'محترف']",الرياض,RIYADH,4000,دوام كامل,1,20202026348520,0,F
سكرتير تنفيذي,26/05/1444,شركة كاف الرقمية للدعاية والاعلان,خاص,صغيرة فئة أ,تقديم خدمات تسويقية نيابةً عن الغير,"['Skill data', 'صياغة التقارير بلغة عربية واضحة', 'متوسط', 'Language data', 'العربية', 'متوسط', 'Professional certificate \\ License data', 'لايهم', 'مفيد']",الرياض,RIYADH,4500,دوام كامل,1,20202026348193,4,M
مندوب مبيعات,26/05/1444,شركة صندوق الرقمي للاتصالات و تقنية المعلومات,خاص,صغيرة فئة ب,أنشطة الخدمات الإدارية المتكاملة للمكاتب,"['Language data', 'انجليزي', 'متوسط']",الرياض,RIYADH,5500,دوام كامل,2,20202026348186,0,both
مساعد إداري,25/05/1444,مركز شذى محمد بن حمد الكثيري ضيافة الأطفال الأهلية,خاص,صغيرة فئة ب,مراكز ضيافة الأطفال الأهلية,,الرياض,RIYADH,4000,دوام كامل,2,20202026348103,2,F
معلم حضانة,25/05/1444,مركز شذى محمد بن حمد الكثيري ضيافة الأطفال الأهلية,خاص,صغيرة فئة ب,مراكز ضيافة الأطفال الأهلية,"['Skill data', 'سبق وتعاملت مع الاطفال اعداد انشطة والوحدات', 'متوسط']",الرياض,RIYADH,3200,دوام كامل,3,20202026348099,0,F
فني كيميائي,25/05/1444,مصنع الاعشاب الشرقية للصناعة,خاص,صغيرة فئة أ,خلط وتعبئة العطور والزيوت والنباتات,,المنطقة الشرقية,DAMMAM,5000,دوام كامل,1,20202026348009,4,M
مهندس كهربائي,25/05/1444,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,صغيرة فئة أ,انتاج الغازات الأولية ، يشمل ( الاوكسجين والهيدروجين .. الخ ),,المدينة المنورة,MADINA,7000,دوام كامل,2,20202026347930,4,M
مهندس ميكانيكي,25/05/1444,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,صغيرة فئة أ,انتاج الغازات الأولية ، يشمل ( الاوكسجين والهيدروجين .. الخ ),,المدينة المنورة,MADINA,7000,دوام كامل,2,20202026347926,4,M
مدير إداري,25/05/1444,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,صغيرة فئة أ,انتاج الغازات الأولية ، يشمل ( الاوكسجين والهيدروجين .. الخ ),,المدينة المنورة,MADINA,7000,دوام كامل,1,20202026347921,4,M
فني هندسة ميكانيكية,25/05/1444,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,صغيرة فئة أ,انتاج الغازات الأولية ، يشمل ( الاوكسجين والهيدروجين .. الخ ),,المدينة المنورة,MADINA,4500,دوام كامل,2,20202026347913,0,M
فني هندسة كهربائية,25/05/1444,شركة مصنع وائل حسن فارسي للغازات الصناعية شركة شخص واحد,خاص,صغيرة فئة أ,انتاج الغازات الأولية ، يشمل ( الاوكسجين والهيدروجين .. الخ ),,المدينة المنورة,MADINA,4500,دوام كامل,2,20202026347910,0,M
مدخل بيانات,25/05/1444,مؤسسة سلطان عبدالله صويلح المطيرى للمقاولات,خاص,صغيرة فئة ب,إصلاح وصيانة المحطات والشبكات والخطوط الرئيسية لتوزيع المياه,"['Skill data', 'مدخل بيانات ', 'محترف', 'Language data', 'العربية ', 'محترف', 'Professional certificate \\ License data', 'شهادة اعلان ', 'مفيد']",المدينة المنورة,YANBU,4000,دوام كامل,1,20202026347907,0,M
محاسب,25/05/1444,حلاق ديوان الدانه للحلاقة,خاص,صغيرة فئة أ,الصالونات الرجالية,"['Skill data', 'محاسبة  ', 'متوسط', 'Language data', 'انجليزي', 'متوسط', 'Professional certificate \\ License data', 'شهادة خبرة ', 'ضروري']",المنطقة الشرقية,DAMMAM,4500,دوام كامل,2,20202026347726,2,both
مدير فرع,25/05/1444,شركة الزي للتجارة,خاص,متوسطة فئة أ,Unknown,"['Language data', 'العربية', 'محترف', 'الانجليزية', 'متوسط']",المنطقة الشرقية,DHAHRAN,4500,دوام كامل,1,20202026347650,2,both
بائع,25/05/1444,مجمع الرائعه الاقتصاديه التجاري,خاص,صغيرة فئة أ,مجمعات تجارية استهلاكية,,الباحة,AQIQ,4000,دوام كامل,2,20202026347521,0,F
موظف استقبال فندق,25/05/1444,فندق قصر الواحة الفندقية,خاص,صغيرة فئة ب,Unknown,"['Skill data', 'الاستقبال الفندقي', 'محترف', 'الاستقبال', 'محترف', 'Language data', 'الانجليزي', 'محترف', 'العربي', 'محترف', 'Professional certificate \\ License data', 'ادارة فنادق', 'مفيد']",الرياض,RIYADH,4500,دوام كامل,4,20202026347394,2,both
مندوب مبيعات,25/05/1444,شركـة مجموعة المساع المحدودة,خاص,صغيرة فئة أ,البيع بالتجزئة للمولدات الكهربائية ولوازمها,,مكة المكرمة,JEDDAH,5000,دوام كامل,2,20202026347260,2,both
كاتب استعلامات مركز خدمة عملاء,25/05/1444,شركة الرهدن,خاص,كبيرة,غسل وكي والتنظيف الجاف لشتى أنواع الملابس بما فيها الفراء والمنسوجات وتشمل جمع وتوزيع الغسيل,,المنطقة الشرقية,DAMMAM,4500,دوام كامل,2,20202026346949,0,both
أخصائي عمليات موارد بشرية,25/05/1444,شركة الصخرة المشرفة والسارية الخضراء للاستشارات الهندسية,خاص,متوسطة فئة ب,Unknown,['Language data'],الرياض,RIYADH,5000,دوام كامل,1,20202026346827,0,F
أخصائي خدمة عملاء,25/05/1444,شركة بروج للكابلات,خاص,صغيرة فئة أ,Unknown,['Language data'],الرياض,RIYADH,6000,دوام كامل,1,20202026346794,2,both
بائع,25/05/1444,شركة المشروبات والاطعمة الغذائية,خاص,صغيرة فئة ب,Unknown,"['Skill data', '-مهارة التواصل مع الآخرين.', 'متوسط', 'Language data']",الرياض,RIYADH,4000,دوام كامل,6,20202026346708,0,both
أخصائي جودة,25/05/1444,شركة مصنع الجواد للبلاستيك والتغليف المرن,خاص,متوسطة فئة ج,Unknown,"['Skill data', 'Language data']",المنطقة الشرقية,UYUN,4170,دوام كامل,2,20202026346669,0,both
معلم صفوف أولية,25/05/1444,مدارس  الأختيار الاول الاهلية,خاص,صغيرة فئة ب,Unknown,,الرياض,RIYADH,4000,دوام كامل,1,20202026346650,0,F
بائع,03/05/1444,شركة جبو رية للحلويات,خاص,متوسطة فئة ب,Unknown,,الرياض,RIYADH,4500,دوام كامل,4,20202026310987,0,M
مساعد طب بيطري,03/05/1444,شركة مجموعة زيد الحسين واخوانة للمقاولات,خاص,عملاقة,رعاية وصيانة المنتزهات والحدائق لأغراض الإسكان العام,,الرياض,RIYADH,5500,دوام كامل,1,20202026310906,0,both
محاسب,03/05/1444,مؤسسة فراج فهد بن فراج المخاريم الدوسري للمقاولات,خاص,صغيرة فئة أ,الإنشاءات العامة للمباني السكنية,,الرياض,WADI AD D,6000,دوام كامل,2,20202026310835,0,F
صيدلي,02/05/1444,شركة مجمع الرحمة الطبي,خاص,متوسطة فئة أ,الخدمات الطبية بالمصحات المتخصصة ومراكز إعادة التأهيل والصحة الوقائية,,الرياض,RIYADH,4000,دوام كامل,1,20202026310734,2,F
مهندس معماري داخلي,01/05/1444,شركة رتاج المسكن المحدودة (شركة شخص واحد),خاص,صغيرة فئة أ,أعمال وتركيب الديكورات المختلفة,,الرياض,RIYADH,4000,دوام كامل,1,20202026310544,0,both
مهندس معماري,01/05/1444,شركة بوابة الفرسان للتصميم,خاص,صغيرة فئة ب,أنشطة تصميم الديكورات الداخلية,"['Skill data', 'اتقان برامج 3DMAX', 'متوسط', 'Language data', 'INGLISH', 'متوسط', 'Professional certificate \\ License data', 'اخصائي تصميم داخلي ', 'ضروري']",الرياض,RIYADH,4500,دوام كامل,1,20202026310520,0,F
بائع مأكولات ومشروبات,30/04/1444,مقهى الفصل الخامس لتقديم المشروبات,خاص,صغيرة فئة ب,بيع الأغذية والمشروبات بالتجزئة في الأكشاك والأسواق,"['Language data', 'الانجليزية', 'مبتدئ']",عسير,TANUMAH,4500,دوام كامل,2,20202026310433,0,M
خطاط,30/04/1444,مؤسسة دكان مخمل التجارية,خاص,صغيرة فئة ب,البيع بالتجزئة للزهور والورود,,القصيم,BURAYDAH,4000,دوام كامل,1,20202026310422,0,both
منسق زهور,30/04/1444,مؤسسة دكان مخمل التجارية,خاص,صغيرة فئة ب,البيع بالتجزئة للزهور والورود,,القصيم,BURAYDAH,4000,دوام كامل,1,20202026310421,0,both
مدير فرع,30/04/1444,شركة ماس الدولية للمقاولات شركة شخص واحد,خاص,متوسطة فئة أ,إنشاء الطرق والشوارع والارصفة ومستلزمات الطرق,,الرياض,RIYADH,5500,دوام كامل,1,20202026310157,2,M
أخصائي تطوير إداري,30/04/1444,بنتي للتجارة,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,,الرياض,RIYADH,4000,دوام كامل,3,20202026310012,0,both
مدير تسويق,30/04/1444,بنتي للتجارة,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,,الرياض,RIYADH,4000,دوام كامل,1,20202026310005,0,both
مدير خدمة العملاء,30/04/1444,بنتي للتجارة,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,,الرياض,RIYADH,4000,دوام كامل,1,20202026310000,2,both
أخصائي تسويق,30/04/1444,بنتي للتجارة,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,,الرياض,RIYADH,4000,دوام كامل,4,20202026309966,0,both
مندوب مشتريات,30/04/1444,بنتي للتجارة,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,,الرياض,RIYADH,4000,دوام كامل,1,20202026309959,0,both
مندوب مبيعات,30/04/1444,بنتي للتجارة,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,,الرياض,RIYADH,4000,دوام كامل,3,20202026309950,0,both
أخصائي خدمة عملاء,30/04/1444,بنتي للتجارة,خاص,صغيرة فئة ب,البيع بالجملة لمنتجات المخابز,,الرياض,RIYADH,4000,دوام كامل,2,20202026309946,0,both
فني تدفئة وتهوية وتكييف,30/04/1444,مؤسسة مرميس للمقاولات,خاص,صغيرة فئة ب,تركيب انظمة التبريد وتكييف الهواء وصيانتها واصلاحها,,الرياض,RIYADH,4000,دوام كامل,1,20202026309926,0,M
مهندس ميكانيكي,30/04/1444,شركة زهرة الصحراء للخدمات اللوجستية,خاص,صغيرة فئة أ,الخدمات اللوجستية,,الرياض,RIYADH,7000,دوام كامل,3,20202026309676,0,M
مدير رقابة ادارية,29/04/1444,محل عبدالرحمن عوظه عبدالله الشهراني التجارية,خاص,صغيرة فئة أ,البيع بالتجزئة للفواكه والخضروات الطازجة والمحفوظة,,عسير,BISHAH,6000,دوام كامل,1,20202026309551,0,M
موظف صندوق محاسبة,29/04/1444,مركز مناهل ديرتي لتجارة الجملة و التجزئة,خاص,صغيرة فئة ب,البيع بالتجزئة للفواكه والخضروات الطازجة والمحفوظة,,مكة المكرمة,MAKKAH,4000,دوام كامل,2,20202026309496,0,M
موظف صندوق محاسبة,29/04/1444,شركة الوصفات المختلفة التجارية,خاص,صغيرة فئة ب,تشغيل المقاصف والكفتيريات على أساس إمتياز محدد ، يشمل ( المقاصف والكفتيريات في المصانع والمكاتب والمستشفيات والمدارس .. الخ ),,الرياض,RIYADH,4000,دوام كامل,1,20202026309318,0,both
مدير تسويق,28/04/1444,مؤسسة خالد فيحان نايف النفيعي العقاري,خاص,صغيرة فئة أ,أنشطة إدارة العقارات مقابل عمولة,,مكة المكرمة,HAWIYA,4000,دوام كامل,1,20202026309160,0,F
صيدلي,28/04/1444,شركة نيرا الطبية,خاص,صغيرة فئة ب,أنشطة إدارة العقارات مقابل عمولة,,الرياض,RIYADH,7000,دوام كامل,1,20202026299094,0,both
مدير تدريب,28/04/1444,شركة حلال العالمي للتدريب,خاص,صغيرة فئة أ,أنشطة إدارة العقارات مقابل عمولة,,الرياض,RIYADH,5000,دوام كامل,1,20202026298850,0,M
مدير حساب عميل,28/04/1444,مؤسسة دعائم التقنية للحاسب الالي,خاص,صغيرة فئة ب,أنشطة إدارة العقارات مقابل عمولة,"['Skill data', 'مهارات تواصل كتابية وشفهية ', 'محترف', 'مهارات تنظيمية ', 'محترف', 'Language data', 'اللغة الانجليزية ', 'محترف']",الرياض,ABA ASLAB,5500,دوام كامل,1,20202026298840,0,F
حارس أمن,28/04/1444,شركة شبلا للحراسات الامنية شركة شخص واحد,خاص,كبيرة,الحراسة الأمنية المدنية الخاصة,,الرياض,ABA ASLAB,3640,دوام كامل,4,20202026298810,0,M
نادل,28/04/1444,مطعم نوف سعيد محمد الغامدي لتقديم الوجبات,خاص,صغيرة فئة ب,المطاعم مع الخدمة,"['Skill data', 'اللباقة وحسن المظهر', 'محترف', 'مهارات التواصل ', 'محترف', 'العمل تحت الضغط', 'محترف', 'لغة انجليزية', 'متوسط', 'Language data', 'انجليزي', 'متوسط']",مكة المكرمة,JEDDAH,5000,دوام كامل,2,20202026298579,0,both
موظف صندوق محاسبة,28/04/1444,مطعم نوف سعيد محمد الغامدي لتقديم الوجبات,خاص,صغيرة فئة ب,المطاعم مع الخدمة,"['Skill data', 'مهارات التواصل', 'محترف', 'التركيز والعمل تحت الضغط ', 'محترف', 'Language data', 'الانجليزي', 'متوسط']",مكة المكرمة,JEDDAH,4000,دوام كامل,2,20202026298550,0,both
كاتب موارد بشرية,28/04/1444,شركة القدرات الوطنية للخدمات التجارية,خاص,متوسطة فئة أ,تشغيل المقاصف والكفتيريات على أساس إمتياز محدد ، يشمل ( المقاصف والكفتيريات في المصانع والمكاتب والمستشفيات والمدارس .. الخ ),"['Skill data', 'برامج مايكروسوف اوفيس', 'متوسط', 'مهارة التواصل ', 'متوسط', 'Language data', 'الانجليزية', 'متوسط', 'العربية', 'محترف']",المنطقة الشرقية,KHUBAR,5000,دوام كامل,2,20202026298502,0,F
معلم ثانوي أحياء,28/04/1444,شركه الرشد التعليميه المحدوده,خاص,متوسطة فئة ب,التعليم الابتدائي للطلاب بمنهج وطني,"['Skill data', 'التدريس', 'محترف', 'Professional certificate \\ License data', 'بكالوريوس', 'ضروري']",الرياض,RIYADH,4000,دوام كامل,1,20202026298458,2,M
معلم ثانوي لغة عربية,28/04/1444,مدرسة جده العالميه لتعليم المنهج الامريكي فرع شركة الفراس ال,خاص,متوسطة فئة ب,التعليم الابتدائي المختلط، يشمل مدارس الجاليات,,مكة المكرمة,JEDDAH,5500,دوام كامل,3,20202026298451,0,M
مساعد إداري,28/04/1444,فوال طيبات خلوفه لتقديم الوجبات,خاص,متوسطة فئة ج,محلات تقديم وجبات الفول و الحمص و الكبدة والبليلة والبازلاء و المطبق وما شابهها,,مكة المكرمة,JEDDAH,4000,دوام كامل,1,20202026298299,0,M
أخصائي تسويق,27/04/1444,شركة ايرادات للخدمات العقارية,خاص,صغيرة فئة أ,أنشطة إدارة العقارات مقابل عمولة,"['Language data', 'العربية', 'محترف', 'الانجليزية', 'متوسط']",الرياض,RIYADH,7000,دوام كامل,1,20202026298023,2,M
أخصائي عمليات موارد بشرية,27/04/1444,شركة أمان التنمية المحدودة,خاص,صغيرة فئة ب,إدارة وتأجير المخازن ذاتية التخزين,"['Skill data', 'الحاسب الالي ', 'متوسط', 'Language data', 'الانجليزية ', 'متوسط']",عسير,KHAMIS MU,4000,دوام كامل,2,20202026297872,2,both
محاسب,27/04/1444,شركة دهونت ثيرمال سالوشانز للصناعة المحدودة,خاص,متوسطة فئة أ,صناعة حديد الزهر ما في ذلك مسبوكات حديد الصلب والزهر,"['Skill data', 'حاسب', 'متوسط', 'Language data', 'انجليزية', 'متوسط']",المنطقة الشرقية,JUBAIL,5250,دوام كامل,1,20202026297715,2,M
أخصائي تسويق,27/04/1444,شركة علي ناصر النصار وشركاه,خاص,متوسطة فئة ب,البيع بالجملة لقطع غيار معدات وآلات البناء,"['Skill data', 'خبرة في مجال بيع الانابيب وتوصيلاتها ', 'متوسط', 'Language data', 'الانجليزية ', 'محترف', 'Professional certificate \\ License data', 'هندسة ', 'ضروري']",المنطقة الشرقية,ABRAQIYAH,5000,دوام كامل,2,20202026297610,2,both
مهندس ميكانيكي,27/04/1444,شركة الصخور العربية للصناعة,خاص,صغيرة فئة ب,تركيب وصيانة أجهزة ومعدات الإنذار من الحريق,"['Language data', 'اللغة الانجليزية ', 'متوسط']",الرياض,ABA ASLAB,7000,دوام كامل,1,20202026287302,0,M
مهندس مدني,27/04/1444,شركة الصخور العربية للصناعة,خاص,صغيرة فئة ب,تركيب وصيانة أجهزة ومعدات الإنذار من الحريق,"['Language data', 'الانجليزية ', 'متوسط']",الرياض,ABA ASLAB,7000,دوام كامل,1,20202026287296,0,M
فني مختبر طبي,27/04/1444,شركة مجمع الرحمة الطبي,خاص,متوسطة فئة أ,الخدمات الطبية بالمصحات المتخصصة ومراكز إعادة التأهيل والصحة الوقائية,,الرياض,RIYADH,5000,دوام كامل,5,20202026287277,2,both
فني هندسة ميكانيكية,27/04/1444,مؤسسة جازي  للمقاولات,خاص,صغيرة فئة ب,تركيب وصيانة المصاعد,,الباحة,BAHA,4000,دوام كامل,1,20202026287185,0,M
فني هندسة إلكترونية,27/04/1444,مؤسسة جازي  للمقاولات,خاص,صغيرة فئة ب,تركيب وصيانة المصاعد,,الباحة,BAHA,4000,دوام كامل,1,20202026287130,0,M
سكرتير,27/04/1444,شركة تنمية للمقاولات شركة شخص واحد,خاص,صغيرة فئة ب,إنشاء المحطات والخطوط الرئيسية لتوزيع المياه,"['Skill data', 'اجادة استخدام الحاسب الالي', 'متوسط']",المدينة المنورة,MADINA,4000,دوام كامل,3,20202026286678,0,both
بائع,27/04/1444,مؤسسة عبدالله صباح فهد العنزي التجارية,خاص,صغيرة فئة أ,البيع بالتجزئة للساعات بأنواعها,,الرياض,KHARJ,4000,دوام كامل,1,20202026286677,0,F
مشرف مسكن,27/04/1444,شركه افراس للتجاره والمقاولات,خاص,عملاقة,الانشاءات العامة للمباني غير السكنية (مثل المدارس والمستشفيات والفنادق ....الخ),,الرياض,RIYADH,4000,دوام كامل,1,20202026286670,0,both
مساعد إداري,27/04/1444,مؤسسة حديقة الطفل الأهلية,خاص,صغيرة فئة ب,التعليم في مرحلة ما قبل المدرسة - رياض الأطفال بمنهج وطني,"['Skill data', 'لغه انجليزيه', 'متوسط']",الرياض,RIYADH,4000,عمل عن بعد,2,20202026286665,0,both
سكرتير تنفيذي,26/04/1444,مؤسسة رحلة الإنجاز للمقاولات,خاص,صغيرة فئة ب,الإنشاءات العامة للمباني السكنية,,مكة المكرمة,MAKKAH,4000,دوام كامل,1,20202026286658,2,M
مصمم وسائط متعددة,26/04/1444,شركة عروبة الشرق للتجارة شركة شخص واحد,خاص,متوسطة فئة أ,بيع وتركيب معدات الفنادق والمطاعم والمطابخ والمغاسل الاتوماتيكية بالتجزئة,"['Skill data', 'تصميم ', 'متوسط', 'Language data', 'انجليزي ', 'متوسط', 'Professional certificate \\ License data', 'مصمم', 'ضروري']",الرياض,RIYADH,5000,دوام كامل,2,20202026276541,0,both
أخصائي تسويق,26/04/1444,معهد الثقه الفائزة للتدريب,خاص,صغيرة فئة ب,بيع وتركيب معدات الفنادق والمطاعم والمطابخ والمغاسل الاتوماتيكية بالتجزئة,"['Skill data', 'تصميم إعلانات', 'متوسط', 'خدمة العملاء', 'متوسط', 'مبيعات', 'متوسط']",مكة المكرمة,JEDDAH,4500,دوام كامل,1,20202026276518,0,M
سائق شاحنة ثقيلة,26/04/1444,شركة الاتحاد السريع,خاص,متوسطة فئة أ,أنشطة اخرى خاصة بالنقل البري للبضائع,"['Skill data', 'سائق شاحنة', 'متوسط']",الرياض,ABA AL KI,5500,دوام كامل,3,20202026276321,2,both
محلل نظم المعلومات,26/04/1444,شقق لجين الغربية للوحدات السكنية المفروشة,خاص,صغيرة فئة ب,أنشطة اخرى خاصة بالنقل البري للبضائع,"['Skill data', 'برامج المايكروسوفت اوفيس', 'محترف', 'Language data', 'لغة انجليزية', 'محترف']",مكة المكرمة,JEDDAH,4000,دوام كامل,1,20202026276207,2,both
سكرتير,25/04/1444,المكتب التعاوني للدعوة والارشاد وتوعية الجاليات با,خاص,صغيرة فئة ب,الأنشطة الخيرية ، يشمل: جمع التبرعات أو أنشطة الدعم الأخرى التي تدخل في نطاق العمل الاجتماعي,,الرياض,RIYADH,3000,دوام كامل,2,20202026276073,0,both
عامل تصنيع,25/04/1444,مصنع رواد الكفاح للصناعة,خاص,صغيرة فئة ب,صناعة المطابخ من الخشب والألمنيوم الخ,"['Skill data', 'الالتزام با الوقت ', 'محترف', 'Language data', 'انجليزي', 'متوسط', 'Professional certificate \\ License data', 'خريج اي برنامج  من المؤسسة العامة التعليم المهني ', 'ضروري']",المنطقة الشرقية,MUBARR,4400,دوام كامل,1,20202026275985,0,M
عامل كاونتر مأكولات ومشروبات,25/04/1444,مطعم نسيم الوردة الشامية,خاص,صغيرة فئة ب,البوفيهات ( الكافيتريات ),,المنطقة الشرقية,DAMMAM,4000,دوام كامل,2,20202026275978,0,both
بائع,25/04/1444,شركة أسامه بكر عبدالله بكر الزراعية,خاص,متوسطة فئة أ,البيع بالجملة للخضراوات,"['Skill data', 'ايجادة استخدام الحاسب الالي', 'محترف']",الرياض,RIYADH,4000,دوام كامل,1,20202026275871,0,both
