job_title,job_date,comp_name,comp_type,comp_size,eco_activity,qualif,region,city,salary,contract,positions,job_post_id,exper,gender
أخصائي خدمة عملاء,15/06/1444,شركة ضوء المستقبل للتعليم,خاص,متوسطة فئة أ,البيع بالتجزئة عن طريق الانترنت,"['Language data', 'اللغه الإنجليزية', 'محترف']",الرياض,RIYADH,5000,دوام كامل,1,20202026396384,2,F
مدير مقهى,16/06/1444,مقهى ذات الشعر الأحمر لتقديم المشروبات,خاص,صغيرة فئة أ,أنشطة أخرى من المقاهي,,الرياض,RIYADH,4000,دوام كامل,1,20202026396347,0,both
محاسب,15/06/1444,مغاسل مسار السرعة لخدمات السيارات,خاص,صغيرة فئة ب,غسيل وتشحيم السيارات,"['Language data', 'الانجليزي', 'متوسط']",مكة المكرمة,MAKKAH,6000,دوام كامل,1,20202026396123,4,both
موظف صندوق محاسبة,15/06/1444,مؤسسة وسق لتنظيم المعارض والمؤتمرات,خاص,صغيرة فئة أ,تنظيم وإدارة المعارض والمؤتمرات,"['Language data', 'العربية', 'محترف', 'الانجليزية', 'متوسط']",مكة المكرمة,JEDDAH,4000,دوام كامل,1,20202026395939,2,both
بائع,15/06/1444,شركه الاتقان والتجهيزات المعدنيه,خاص,صغيرة فئة ب,البيع بالجملة للاكسسوارات المعدنية والاقفال والمفصلات وغيرها,,الرياض,RIYADH,4200,دوام كامل,1,20202026395878,0,both
أخصائي تسويق,15/06/1444,شركة انظمة تيرأ للاتصالات وتقنية المعلومات,خاص,صغيرة فئة أ,تصميم وبرمجة البرمجيات الخاصة,,الرياض,RIYADH,6000,دوام كامل,1,20202026395834,0,M
محصل,15/06/1444,شركة المطهرات الخليجية المحدودة شركة شخص واحد,خاص,صغيرة فئة ب,البيع بالجملة للأجهزة والمعدات والمستلزمات الطبية,,الرياض,RIYADH,4500,دوام كامل,1,20202026395787,0,both
أخصائي تأمين,15/06/1444,شركه دار الوساطه للتأمين المحدوده,خاص,متوسطة فئة أ,التأمين ضد المرض وحوادث العمل والبطالة,"['Skill data', 'اكسل شيت', 'متوسط', 'ملم بالحاسب الالي ', 'متوسط', 'Language data', 'الانجليزية ', 'محترف']",مكة المكرمة,JEDDAH,5000,دوام كامل,5,20202026395612,0,both
مراسل,15/06/1444,شركة فنون التعبئة للمنتجات الغذائية,خاص,صغيرة فئة ب,تعبئة وحفظ البقوليات (المطبوخة وغير المطبوخة) بالتعليب,,مكة المكرمة,JEDDAH,6999,دوام كامل,1,20202026395454,2,both
سكرتير تنفيذي,15/06/1444,شركة فنون التعبئة للمنتجات الغذائية,خاص,صغيرة فئة ب,تعبئة وحفظ البقوليات (المطبوخة وغير المطبوخة) بالتعليب,,مكة المكرمة,JEDDAH,7000,دوام كامل,1,20202026395450,2,F
